[2025-01-04 13:01:55] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2025-01-04 13:01:55] [class-ss-archive-creation-job.php:98] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2025-01-04 13:01:55] [class-ss-archive-creation-job.php:116] Pushing first task to queue: setup
[2025-01-04 13:01:55] [class-ss-archive-creation-job.php:172] Current task: setup
[2025-01-04 13:01:55] [class-ss-archive-creation-job.php:182] Performing task: setup
[2025-01-04 13:01:55] [class-ss-task.php:44] Status message: [setup] Setting up
[2025-01-04 13:01:55] [class-ss-setup-task.php:33] Creating archive directory: C:\Users\jeroe\Local Sites\aboutme\app\public/wp-content/uploads\simply-static\temp-files/simply-static-1-1735995715\
[2025-01-04 13:01:55] [class-ss-setup-task.php:72] Adding origin URL to queue: http://aboutme.local/
[2025-01-04 13:01:55] [class-ss-setup-task.php:152] Adding files from directory: C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content/uploads
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content/uploads\simply-static\6c79420de5a2a8c78de03746ca14ce46-debug.txt to queue as: http://aboutme.local/wp-content/uploads/simply-static/6c79420de5a2a8c78de03746ca14ce46-debug.txt
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content/uploads\simply-static\temp-files\simply-static-1-1735995715\feed\index.html to queue as: http://aboutme.local/wp-content/uploads/simply-static/temp-files/simply-static-1-1735995715/feed/index.html
[2025-01-04 13:01:55] [class-ss-setup-task.php:152] Adding files from directory: C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\index.php to queue as: http://aboutme.local/wp-content/index.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\index.php to queue as: http://aboutme.local/wp-content/plugins/index.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\assets\admin-bar.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/assets/admin-bar.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\assets\install-plugins\build\index.asset.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/assets/install-plugins/build/index.asset.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\assets\install-plugins\build\index.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/assets/install-plugins/build/index.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\assets\install-plugins\build\style-index.css to queue as: http://aboutme.local/wp-content/plugins/simply-static/assets/install-plugins/build/style-index.css
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\assets\simply-static-icon.svg to queue as: http://aboutme.local/wp-content/plugins/simply-static/assets/simply-static-icon.svg
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\assets\simply-static-logo.svg to queue as: http://aboutme.local/wp-content/plugins/simply-static/assets/simply-static-logo.svg
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\composer.json to queue as: http://aboutme.local/wp-content/plugins/simply-static/composer.json
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\index.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/index.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\languages\simply-static-de_DE-simplystatic-settings.json to queue as: http://aboutme.local/wp-content/plugins/simply-static/languages/simply-static-de_DE-simplystatic-settings.json
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\languages\simply-static-de_DE.mo to queue as: http://aboutme.local/wp-content/plugins/simply-static/languages/simply-static-de_DE.mo
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\languages\simply-static-de_DE.po to queue as: http://aboutme.local/wp-content/plugins/simply-static/languages/simply-static-de_DE.po
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\languages\simply-static-fr_FR.mo to queue as: http://aboutme.local/wp-content/plugins/simply-static/languages/simply-static-fr_FR.mo
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\languages\simply-static-fr_FR.po to queue as: http://aboutme.local/wp-content/plugins/simply-static/languages/simply-static-fr_FR.po
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\languages\simply-static.pot to queue as: http://aboutme.local/wp-content/plugins/simply-static/languages/simply-static.pot
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\license.txt to queue as: http://aboutme.local/wp-content/plugins/simply-static/license.txt
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\readme.txt to queue as: http://aboutme.local/wp-content/plugins/simply-static/readme.txt
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\security.md to queue as: http://aboutme.local/wp-content/plugins/simply-static/security.md
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\simply-static.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/simply-static.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\index-rtl.css to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/index-rtl.css
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\index.asset.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/index.asset.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\index.css to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/index.css
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\index.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/index.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\reactPlayerDailyMotion.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/reactPlayerDailyMotion.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\reactPlayerFacebook.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/reactPlayerFacebook.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\reactPlayerFilePlayer.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/reactPlayerFilePlayer.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\reactPlayerKaltura.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/reactPlayerKaltura.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\reactPlayerMixcloud.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/reactPlayerMixcloud.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\reactPlayerMux.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/reactPlayerMux.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\reactPlayerPreview.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/reactPlayerPreview.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\reactPlayerSoundCloud.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/reactPlayerSoundCloud.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\reactPlayerStreamable.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/reactPlayerStreamable.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\reactPlayerTwitch.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/reactPlayerTwitch.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\reactPlayerVidyard.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/reactPlayerVidyard.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\reactPlayerVimeo.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/reactPlayerVimeo.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\reactPlayerWistia.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/reactPlayerWistia.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\build\reactPlayerYouTube.js to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/build/reactPlayerYouTube.js
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\inc\class-ss-admin-meta.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/inc/class-ss-admin-meta.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\inc\class-ss-admin-settings.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/inc/class-ss-admin-settings.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\admin\inc\class-ss-migrate-settings.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/admin/inc/class-ss-migrate-settings.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-archive-creation-job.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-archive-creation-job.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-diagnostic.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-diagnostic.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-integrations.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-integrations.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\class-ss-multisite.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/class-ss-multisite.php
